category,publishedAt,view_count,likes
Autos & Vehicles,2020,261144359,24227178
Autos & Vehicles,2021,675300757,45689009
Autos & Vehicles,2022,27949618,1508706
Comedy,2020,2192319701,214356549
Comedy,2021,6526341498,581296171
Comedy,2022,1948683485,220020922
Education,2020,173334886,8079662
Education,2021,1129020522,33287124
Education,2022,342019027,31164771
Entertainment,2020,8642484833,769664471
Entertainment,2021,31666297152,2698895977
Entertainment,2022,8968306404,794088543
Film & Animation,2020,736130046,48166908
Film & Animation,2021,2529092047,116241611
Film & Animation,2022,964504689,40116512
Gaming,2020,6225620316,494852151
Gaming,2021,16941046818,1273927109
Gaming,2022,3652957166,244013396
Howto & Style,2020,1016984958,65985046
Howto & Style,2021,2296405098,164452540
Howto & Style,2022,454964356,35582154
Music,2020,32984426879,2446537892
Music,2021,80289239004,5616219667
Music,2022,8453361947,445340915
News & Politics,2020,609462731,19206746
News & Politics,2021,1978077541,36474408
News & Politics,2022,534917239,9725680
Other,2020,55547179,9401884
Other,2021,75376547,8093522
Other,2022,821301,39981
People & Blogs,2020,4403127254,410862050
People & Blogs,2021,14578285417,1195317559
People & Blogs,2022,4420242634,332399675
Pets & Animals,2020,2361331,144182
Pets & Animals,2021,5332546,273209
Science & Technology,2020,1022329431,31061150
Science & Technology,2021,2077070011,62350704
Science & Technology,2022,130935148,8740781
Sports,2020,3091770663,63470046
Sports,2021,8725945558,184718502
Sports,2022,1885627687,43795019
Travel & Events,2020,106029252,8217728
Travel & Events,2021,535717500,29363626
Travel & Events,2022,55905003,3516341
